Mission ID,Mission Name,Launch Date,Target Type,Target Name,Mission Type,Distance from Earth (light-years),Mission Duration (years),Mission Cost (billion USD),Scientific Yield (points),Crew Size,Mission Success (%),Fuel Consumption (tons),Payload Weight (tons),Launch Vehicle
MSN-0001,Mission-1,01-01-2025,Star,Titan,Colonization,7.05,5.2,526.68,64.3,21,100,731.88,99.78,SLS
MSN-0002,Mission-2,08-01-2025,Exoplanet,Betelgeuse,Colonization,41.76,23,234.08,84.4,72,89.6,4197.41,45.72,Starship
MSN-0003,Mission-3,15-01-2025,Asteroid,Mars,Exploration,49.22,28.8,218.68,98.6,16,98.6,4908,36.12,Starship
MSN-0004,Mission-4,22-01-2025,Exoplanet,Titan,Colonization,26.33,17.8,232.89,36,59,90,2569.05,40.67,Starship
MSN-0005,Mission-5,29-01-2025,Exoplanet,Proxima b,Mining,8.67,9.2,72.14,96.5,31,73.2,892.76,12.4,Starship
MSN-0006,Mission-6,05-02-2025,Moon,Ceres,Colonization,13.69,8.8,452.42,45.1,42,100,1327.29,88.44,Ariane 6
MSN-0007,Mission-7,12-02-2025,Asteroid,Ceres,Research,1.02,5,220.38,44.7,74,95.5,211.2,42.07,SLS
MSN-0008,Mission-8,19-02-2025,Asteroid,Mars,Colonization,45.72,25.2,200.49,40.6,32,89.3,4600.53,39.34,SLS
MSN-0009,Mission-9,26-02-2025,Asteroid,Betelgeuse,Exploration,5.98,4.4,361.35,58.7,59,100,568.97,66.31,Ariane 6
MSN-0010,Mission-10,05-03-2025,Exoplanet,Betelgeuse,Colonization,28.87,18.9,265.98,23.9,34,99.3,2856.43,44.76,Starship
MSN-0011,Mission-11,12-03-2025,Star,Proxima b,Research,13.78,10.4,327.76,59.8,9,91.9,1373.35,65.18,Starship
MSN-0012,Mission-12,19-03-2025,Asteroid,Mars,Research,27.75,15.5,38.8,58.8,81,71.2,2763.02,7.08,SLS
MSN-0013,Mission-13,26-03-2025,Exoplanet,Ceres,Mining,32.61,19,436.87,78.6,11,100,3316.84,81.56,Ariane 6
MSN-0014,Mission-14,02-04-2025,Moon,Betelgeuse,Colonization,41.5,22.9,511.71,85,96,100,4159.32,94.11,Starship
MSN-0015,Mission-15,09-04-2025,Star,Mars,Research,10.4,9.1,343.16,49.6,10,91.2,1003.42,65.23,Starship
MSN-0016,Mission-16,16-04-2025,Moon,Io,Exploration,0.65,3.1,495.63,37.2,86,100,159.52,95.5,Starship
MSN-0017,Mission-17,23-04-2025,Star,Betelgeuse,Mining,6.93,8.4,110.17,33.3,17,83.7,695.47,15.99,Falcon Heavy
MSN-0018,Mission-18,30-04-2025,Exoplanet,Titan,Exploration,45.01,23.7,255.74,27.5,68,96.3,4539.44,48.26,Ariane 6
MSN-0019,Mission-19,07-05-2025,Planet,Io,Colonization,43.71,24.3,305.2,15.2,48,100,4340.59,60.58,Starship
MSN-0020,Mission-20,14-05-2025,Star,Betelgeuse,Colonization,29.91,17.9,329.98,40.8,52,100,3009.16,58.59,Falcon Heavy
MSN-0021,Mission-21,21-05-2025,Moon,Ceres,Colonization,30.07,18,235.36,34.3,25,97.9,3022.56,40.74,Ariane 6
MSN-0022,Mission-22,28-05-2025,Exoplanet,Europa,Mining,33.29,18.9,201.81,97,21,94.9,3234.52,34.47,Starship
MSN-0023,Mission-23,04-06-2025,Star,Io,Research,8.85,8.3,105.14,60.2,65,81.2,985.76,13.56,SLS
MSN-0024,Mission-24,11-06-2025,Planet,Proxima b,Mining,45.73,27.4,232.99,41.3,63,92.6,4637.53,39.78,Falcon Heavy
MSN-0025,Mission-25,18-06-2025,Planet,Proxima b,Exploration,21,15.3,96.59,62.2,89,77.3,2080.14,17.1,Falcon Heavy
MSN-0026,Mission-26,25-06-2025,Asteroid,Ceres,Mining,19.22,13.8,386.77,22.5,51,100,1866.89,73.7,Starship
MSN-0027,Mission-27,02-07-2025,Asteroid,Betelgeuse,Exploration,25.99,17.4,115.53,50,36,78.1,2616.38,21.67,Starship
MSN-0028,Mission-28,09-07-2025,Moon,Mars,Mining,2.44,4.4,41.36,66.4,81,67.4,248.33,6.8,Falcon Heavy
MSN-0029,Mission-29,16-07-2025,Star,Betelgeuse,Research,8.4,8.5,312.53,54,88,100,857.78,55.68,SLS
MSN-0030,Mission-30,23-07-2025,Star,Ceres,Exploration,36.93,20.7,342.72,46.2,66,95.8,3702.58,59.93,SLS
MSN-0031,Mission-31,30-07-2025,Asteroid,Proxima b,Colonization,4.23,4.7,484.77,99.4,15,100,448.31,87.32,Ariane 6
MSN-0032,Mission-32,06-08-2025,Star,Betelgeuse,Colonization,30.2,17.4,322.39,89.2,96,100,3092.37,58.12,Starship
MSN-0033,Mission-33,13-08-2025,Star,Proxima b,Mining,12.34,9,186.02,66.1,39,89.3,1262.41,35.2,SLS
MSN-0034,Mission-34,20-08-2025,Planet,Io,Colonization,19.53,11.9,408.68,61.2,70,100,1900.52,80.5,Ariane 6
MSN-0035,Mission-35,27-08-2025,Asteroid,Mars,Exploration,14.51,12.1,313.28,65.9,1,100,1519.13,54.49,SLS
MSN-0036,Mission-36,03-09-2025,Exoplanet,Io,Colonization,17.85,11.2,73.61,28.1,23,84.2,1867.03,8.85,Starship
MSN-0037,Mission-37,10-09-2025,Asteroid,Proxima b,Research,35.98,19.4,316.4,45.6,39,95.4,3755.6,57.02,Ariane 6
MSN-0038,Mission-38,17-09-2025,Exoplanet,Proxima b,Research,14.93,10.6,493.74,13.6,57,100,1436.83,90.89,Ariane 6
MSN-0039,Mission-39,24-09-2025,Planet,Europa,Mining,28.36,15.4,236.61,52.8,81,90.6,2848.14,40.23,Ariane 6
MSN-0040,Mission-40,01-10-2025,Moon,Europa,Exploration,23.85,13.4,193.59,58.9,34,84.3,2280.9,30.34,SLS
MSN-0041,Mission-41,08-10-2025,Star,Io,Research,33.22,18.5,79.75,30.5,41,71.3,3349.66,15.2,Starship
MSN-0042,Mission-42,15-10-2025,Planet,Titan,Research,46.85,26.3,117.58,96.8,93,83.9,4657.59,15.99,Ariane 6
MSN-0043,Mission-43,22-10-2025,Star,Io,Exploration,36.66,21.1,261.89,91.9,73,92.8,3762.17,43.84,Falcon Heavy
MSN-0044,Mission-44,29-10-2025,Moon,Europa,Colonization,10.83,9.6,314.87,75,13,100,1044.27,59.97,Starship
MSN-0045,Mission-45,05-11-2025,Moon,Proxima b,Colonization,1.66,4.8,77.28,58,70,82.7,81.54,8.98,Falcon Heavy
MSN-0046,Mission-46,12-11-2025,Planet,Ceres,Mining,13.19,9.3,486.49,88.3,6,100,1295.44,94.02,Falcon Heavy
MSN-0047,Mission-47,19-11-2025,Moon,Io,Colonization,29.79,17.2,426.74,21.8,84,100,2880.23,75.76,Ariane 6
MSN-0048,Mission-48,26-11-2025,Exoplanet,Proxima b,Exploration,2.67,3.6,298.04,81.1,52,100,304.55,59.08,Ariane 6
MSN-0049,Mission-49,03-12-2025,Moon,Ceres,Research,24.87,16.5,444.51,21.2,3,100,2383.75,83.02,SLS
MSN-0050,Mission-50,10-12-2025,Star,Ceres,Colonization,29.88,16.1,53.86,81.5,81,73,2989.42,8.94,SLS
MSN-0051,Mission-51,17-12-2025,Star,Europa,Mining,16.78,9.4,276.95,34.8,63,93.8,1574.11,48.21,SLS
MSN-0052,Mission-52,24-12-2025,Star,Io,Colonization,38.57,23.5,326.52,88.9,49,100,3840.99,63.38,Starship
MSN-0053,Mission-53,31-12-2025,Star,Betelgeuse,Exploration,5.42,5.6,427.73,95,76,100,624.17,83.04,SLS
MSN-0054,Mission-54,07-01-2026,Exoplanet,Mars,Mining,3.85,3.4,418.02,23.4,47,100,403.03,78.56,Falcon Heavy
MSN-0055,Mission-55,14-01-2026,Asteroid,Europa,Colonization,36.44,20.2,187.98,51.6,55,84.7,3600.83,28.43,SLS
MSN-0056,Mission-56,21-01-2026,Planet,Europa,Mining,24.83,17.1,482.12,98.3,64,100,2481.44,94.15,Ariane 6
MSN-0057,Mission-57,28-01-2026,Star,Betelgeuse,Exploration,34.45,21.7,74.62,53.5,65,74.6,3445.9,13.31,SLS
MSN-0058,Mission-58,04-02-2026,Moon,Mars,Research,21.8,14.7,476.39,87.7,81,100,2203.63,87.64,Starship
MSN-0059,Mission-59,11-02-2026,Star,Proxima b,Exploration,12.4,9.1,511.13,63,67,100,1171.66,97.12,Starship
MSN-0060,Mission-60,18-02-2026,Moon,Titan,Exploration,40.97,23.6,138.38,43.8,90,83.8,4126.63,18.54,Falcon Heavy
MSN-0061,Mission-61,25-02-2026,Moon,Io,Exploration,39.99,24.9,370.58,35.7,15,98.6,3863.78,72.48,Starship
MSN-0062,Mission-62,04-03-2026,Star,Titan,Exploration,34.77,22.2,57.6,28.3,32,70.2,3445.51,4.99,SLS
MSN-0063,Mission-63,11-03-2026,Exoplanet,Proxima b,Research,13.68,8.7,218.11,78.6,96,95.2,1343.59,41.14,Ariane 6
MSN-0064,Mission-64,18-03-2026,Moon,Europa,Research,29.55,19,269.23,44.8,68,99.9,2986.67,52.11,Starship
MSN-0065,Mission-65,25-03-2026,Moon,Mars,Mining,18.11,10.8,326.89,56,18,100,1812.13,58.48,Falcon Heavy
MSN-0066,Mission-66,01-04-2026,Star,Europa,Colonization,4.67,4.2,498.39,54.3,83,100,396.72,93.66,SLS
MSN-0067,Mission-67,08-04-2026,Moon,Ceres,Research,45.87,26.6,375.74,62,43,100,4537.75,67.55,Falcon Heavy
MSN-0068,Mission-68,15-04-2026,Moon,Europa,Research,6.93,6.1,259.41,87.9,35,94.1,702.93,48.65,Starship
MSN-0069,Mission-69,22-04-2026,Star,Europa,Colonization,47.52,28.5,428.75,98.3,78,100,4748.05,81.16,Starship
MSN-0070,Mission-70,29-04-2026,Star,Proxima b,Research,22.36,12.5,496.37,46.7,58,100,2207.04,95.1,Falcon Heavy
MSN-0071,Mission-71,06-05-2026,Planet,Proxima b,Exploration,9.34,7.7,65.12,84.5,33,74,909.96,3.18,SLS
MSN-0072,Mission-72,13-05-2026,Exoplanet,Proxima b,Exploration,27.14,18.2,506.67,78.8,14,100,2748.81,98.27,Starship
MSN-0073,Mission-73,20-05-2026,Exoplanet,Titan,Colonization,43.66,26.4,63.1,61.6,34,77.6,4340.12,9.53,Ariane 6
MSN-0074,Mission-74,27-05-2026,Moon,Ceres,Mining,36.64,19.9,426.47,96,61,100,3659.6,81.62,Starship
MSN-0075,Mission-75,03-06-2026,Exoplanet,Proxima b,Mining,40.35,22.6,172.42,28,4,84.7,4143.5,28.75,SLS
MSN-0076,Mission-76,10-06-2026,Moon,Mars,Colonization,32.97,20,83.81,19.8,88,85,3225.82,14.09,Starship
MSN-0077,Mission-77,17-06-2026,Planet,Titan,Colonization,34.64,19,268.6,86.9,59,100,3371.41,44.55,Falcon Heavy
MSN-0078,Mission-78,24-06-2026,Star,Betelgeuse,Exploration,42.47,26.1,337.77,49.5,29,100,4286.18,64.75,Starship
MSN-0079,Mission-79,01-07-2026,Star,Mars,Mining,12.56,10.9,238.44,86.2,83,87.5,1222.07,38.71,Starship
MSN-0080,Mission-80,08-07-2026,Star,Io,Research,24.52,13.9,38.07,90.4,6,74.9,2436.09,6.4,SLS
MSN-0081,Mission-81,15-07-2026,Exoplanet,Io,Exploration,11.14,7.1,334.92,15.6,97,100,1074.94,60.35,Falcon Heavy
MSN-0082,Mission-82,22-07-2026,Planet,Mars,Colonization,49.38,26,497.14,89.5,49,100,4925.01,90.34,SLS
MSN-0083,Mission-83,29-07-2026,Exoplanet,Proxima b,Mining,47.21,28.2,203.97,50.3,40,97.2,4800.93,38.94,Starship
MSN-0084,Mission-84,05-08-2026,Exoplanet,Betelgeuse,Research,2.07,2.8,160.55,55.9,83,92.5,247.11,22.42,Ariane 6
MSN-0085,Mission-85,12-08-2026,Planet,Betelgeuse,Research,35.31,20.3,247.29,66.4,65,100,3574.11,44.82,Starship
MSN-0086,Mission-86,19-08-2026,Planet,Titan,Exploration,46.27,25.9,76.29,93.4,69,79.2,4556.19,5.79,SLS
MSN-0087,Mission-87,26-08-2026,Planet,Betelgeuse,Mining,9.11,8,445.31,11.7,27,100,853.44,82.23,Ariane 6
MSN-0088,Mission-88,02-09-2026,Planet,Io,Mining,28.44,15.5,429.83,52.9,80,100,2702.05,82.81,SLS
MSN-0089,Mission-89,09-09-2026,Star,Ceres,Colonization,45.78,24.8,306.28,71.9,6,100,4537.53,59.21,SLS
MSN-0090,Mission-90,16-09-2026,Asteroid,Proxima b,Mining,1.79,5.6,195.68,75,13,87.1,226.84,35.96,Falcon Heavy
MSN-0091,Mission-91,23-09-2026,Asteroid,Betelgeuse,Mining,34.9,22.1,406.46,72.3,64,100,3515.85,80.18,Ariane 6
